timestamp,datetime,track_id,change_type,capacity,used_before,used_after,utilization_before_percent,utilization_after_percent,change_amount,triggered_by
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,338.59999999999997,43.99999999999994,90.29333333333332,11.733333333333318,24.9,batch_1_wagons[W0024]
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_released,375.0,363.49999999999994,68.79999999999994,96.93333333333331,18.34666666666665,-319.5,"batch_16_wagons[W0007,W0008,W0009,W0010,W0011,W0012,W0013,W0014,W0015,W0016,W0017,W0018,W0019,W0020,W0021,W0022]"
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,43.99999999999994,68.79999999999994,11.733333333333318,18.34666666666665,24.8,batch_1_wagons[W0025]
648.0,2025-12-01T10:48:00+00:00,retrofit1,capacity_reserved,319.5,7.105427357601002e-15,319.5,2.2239209256967143e-15,100.0,319.5,"batch_16_wagons[W0007,W0008,W0009,W0010,W0011,W0012,W0013,W0014,W0015,W0016,W0017,W0018,W0019,W0020,W0021,W0022]"
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,68.79999999999994,87.59999999999994,18.34666666666665,23.359999999999985,18.8,batch_1_wagons[W0026]
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,87.59999999999994,102.69999999999993,23.359999999999985,27.38666666666665,15.1,batch_1_wagons[W0027]
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,102.69999999999993,117.89999999999993,27.38666666666665,31.439999999999984,15.2,batch_1_wagons[W0028]
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,117.89999999999993,142.39999999999992,31.439999999999984,37.973333333333315,24.5,batch_1_wagons[W0029]
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,142.39999999999992,158.49999999999991,37.973333333333315,42.266666666666644,16.1,batch_1_wagons[W0030]
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,158.49999999999991,180.5999999999999,42.266666666666644,48.159999999999975,22.1,batch_1_wagons[W0031]
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,180.5999999999999,204.5999999999999,48.159999999999975,54.559999999999974,24.0,batch_1_wagons[W0032]
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,204.5999999999999,225.0999999999999,54.559999999999974,60.02666666666664,20.5,batch_1_wagons[W0033]
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,225.0999999999999,249.99999999999991,60.02666666666664,66.66666666666664,24.9,batch_1_wagons[W0034]
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,249.99999999999991,265.2999999999999,66.66666666666664,70.74666666666664,15.3,batch_1_wagons[W0035]
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,265.2999999999999,283.7999999999999,70.74666666666664,75.67999999999996,18.5,batch_1_wagons[W0036]
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,283.7999999999999,299.3999999999999,75.67999999999996,79.83999999999997,15.6,batch_1_wagons[W0037]
648.0,2025-12-01T10:48:00+00:00,collection1,capacity_reserved,375.0,299.3999999999999,321.0999999999999,79.83999999999997,85.62666666666664,21.7,batch_1_wagons[W0038]
661.0,2025-12-01T11:01:00+00:00,parking10,capacity_reserved,450.0,0.0,110.9,0.0,24.644444444444446,110.9,"batch_6_wagons[W0001,W0002,W0003,W0004,W0005,W0006]"
801.0,2025-12-01T13:21:00+00:00,retrofit1,capacity_released,319.5,319.5,278.4,100.0,87.13615023474178,-41.1,"batch_2_wagons[W0007,W0008]"
801.0,2025-12-01T13:21:00+00:00,retrofit1,capacity_released,319.5,278.4,239.59999999999997,87.13615023474178,74.9921752738654,-38.8,"batch_2_wagons[W0009,W0010]"
801.0,2025-12-01T13:21:00+00:00,retrofit1,capacity_released,319.5,239.59999999999997,195.79999999999995,74.9921752738654,61.283255086071975,-43.8,"batch_2_wagons[W0011,W0012]"
894.5,2025-12-01T14:54:30+00:00,retrofitted1,capacity_reserved,528.0,0.0,123.7,0.0,23.428030303030305,41.1,"batch_2_wagons[W0007,W0008]"
894.5,2025-12-01T14:54:30+00:00,retrofitted1,capacity_reserved,528.0,41.1,123.7,7.78409090909091,23.428030303030305,38.8,"batch_2_wagons[W0009,W0010]"
894.5,2025-12-01T14:54:30+00:00,retrofitted1,capacity_reserved,528.0,79.9,123.7,15.132575757575758,23.428030303030305,43.8,"batch_2_wagons[W0011,W0012]"
899.0,2025-12-01T14:59:00+00:00,collection1,capacity_released,375.0,321.0999999999999,21.699999999999932,85.62666666666664,5.786666666666648,-299.4,"batch_15_wagons[W0023,W0024,W0025,W0026,W0027,W0028,W0029,W0030,W0031,W0032,W0033,W0034,W0035,W0036,W0037]"
899.0,2025-12-01T14:59:00+00:00,retrofit2,capacity_reserved,319.5,0.0,299.4,0.0,93.70892018779342,299.4,"batch_15_wagons[W0023,W0024,W0025,W0026,W0027,W0028,W0029,W0030,W0031,W0032,W0033,W0034,W0035,W0036,W0037]"
899.5,2025-12-01T14:59:30+00:00,retrofit1,capacity_released,319.5,195.79999999999995,154.19999999999996,61.283255086071975,48.26291079812206,-41.599999999999994,"batch_2_wagons[W0013,W0014]"
899.5,2025-12-01T14:59:30+00:00,retrofit1,capacity_released,319.5,154.19999999999996,114.99999999999996,48.26291079812206,35.99374021909232,-39.2,"batch_2_wagons[W0015,W0016]"
899.5,2025-12-01T14:59:30+00:00,retrofit1,capacity_released,319.5,114.99999999999996,70.79999999999995,35.99374021909232,22.159624413145526,-44.2,"batch_2_wagons[W0017,W0018]"
904.0,2025-12-01T15:04:00+00:00,retrofitted1,capacity_released,528.0,123.7,0.0,23.428030303030305,0.0,-123.7,"batch_6_wagons[W0007,W0008,W0009,W0010,W0011,W0012]"
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,21.699999999999932,40.59999999999993,5.786666666666648,10.826666666666648,18.9,batch_1_wagons[W0039]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,40.59999999999993,64.69999999999993,10.826666666666648,17.253333333333316,24.1,batch_1_wagons[W0040]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,64.69999999999993,83.39999999999993,17.253333333333316,22.23999999999998,18.7,batch_1_wagons[W0041]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,83.39999999999993,104.69999999999993,22.23999999999998,27.919999999999984,21.3,batch_1_wagons[W0042]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,104.69999999999993,120.29999999999993,27.919999999999984,32.079999999999984,15.6,batch_1_wagons[W0043]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,120.29999999999993,141.99999999999991,32.079999999999984,37.866666666666646,21.7,batch_1_wagons[W0044]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,141.99999999999991,165.6999999999999,37.866666666666646,44.18666666666664,23.7,batch_1_wagons[W0045]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,165.6999999999999,184.99999999999991,44.18666666666664,49.333333333333314,19.3,batch_1_wagons[W0046]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,184.99999999999991,205.1999999999999,49.333333333333314,54.71999999999998,20.2,batch_1_wagons[W0047]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,205.1999999999999,225.1999999999999,54.71999999999998,60.053333333333306,20.0,batch_1_wagons[W0048]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,225.1999999999999,249.0999999999999,60.053333333333306,66.42666666666665,23.9,batch_1_wagons[W0049]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,249.0999999999999,266.7999999999999,66.42666666666665,71.14666666666663,17.7,batch_1_wagons[W0050]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,266.7999999999999,290.6999999999999,71.14666666666663,77.51999999999997,23.9,batch_1_wagons[W0051]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,290.6999999999999,306.09999999999985,77.51999999999997,81.62666666666662,15.4,batch_1_wagons[W0052]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,306.09999999999985,326.1999999999999,81.62666666666662,86.98666666666664,20.1,batch_1_wagons[W0053]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,326.1999999999999,343.89999999999986,86.98666666666664,91.70666666666662,17.7,batch_1_wagons[W0054]
936.0,2025-12-01T15:36:00+00:00,collection1,capacity_reserved,375.0,343.89999999999986,364.89999999999986,91.70666666666662,97.30666666666663,21.0,batch_1_wagons[W0055]
936.0,2025-12-01T15:36:00+00:00,collection2,capacity_reserved,375.0,0.0,20.5,0.0,5.466666666666667,20.5,batch_1_wagons[W0056]
936.0,2025-12-01T15:36:00+00:00,collection2,capacity_reserved,375.0,20.5,43.4,5.466666666666667,11.573333333333332,22.9,batch_1_wagons[W0057]
936.0,2025-12-01T15:36:00+00:00,collection2,capacity_reserved,375.0,43.4,65.7,11.573333333333332,17.52,22.3,batch_1_wagons[W0058]
936.0,2025-12-01T15:36:00+00:00,collection2,capacity_reserved,375.0,65.7,87.80000000000001,17.52,23.413333333333338,22.1,batch_1_wagons[W0059]
936.0,2025-12-01T15:36:00+00:00,collection2,capacity_reserved,375.0,87.80000000000001,106.80000000000001,23.413333333333338,28.480000000000004,19.0,batch_1_wagons[W0060]
936.0,2025-12-01T15:36:00+00:00,collection2,capacity_reserved,375.0,106.80000000000001,127.9,28.480000000000004,34.10666666666667,21.1,batch_1_wagons[W0061]
936.0,2025-12-01T15:36:00+00:00,collection2,capacity_reserved,375.0,127.9,146.5,34.10666666666667,39.06666666666666,18.6,batch_1_wagons[W0063]
936.0,2025-12-01T15:36:00+00:00,collection2,capacity_reserved,375.0,146.5,171.1,39.06666666666666,45.626666666666665,24.6,batch_1_wagons[W0064]
936.0,2025-12-01T15:36:00+00:00,collection2,capacity_reserved,375.0,171.1,189.7,45.626666666666665,50.586666666666666,18.6,batch_1_wagons[W0065]
936.0,2025-12-01T15:36:00+00:00,collection2,capacity_released,375.0,189.7,0.0,50.586666666666666,0.0,-189.7,"batch_9_wagons[W0056,W0057,W0058,W0059,W0060,W0061,W0063,W0064,W0065]"
936.0,2025-12-01T15:36:00+00:00,retrofit1,capacity_reserved,319.5,70.79999999999995,260.5,22.159624413145526,81.53364632237871,189.70000000000002,"batch_9_wagons[W0056,W0057,W0058,W0059,W0060,W0061,W0063,W0064,W0065]"
973.5,2025-12-01T16:13:30+00:00,parking11,capacity_reserved,375.0,0.0,123.7,0.0,32.98666666666667,123.7,"batch_6_wagons[W0007,W0008,W0009,W0010,W0011,W0012]"
993.0,2025-12-01T16:33:00+00:00,retrofitted1,capacity_reserved,528.0,0.0,41.599999999999994,0.0,7.878787878787878,41.599999999999994,"batch_2_wagons[W0013,W0014]"
998.0,2025-12-01T16:38:00+00:00,retrofit1,capacity_released,319.5,260.5,220.0,81.53364632237871,68.85758998435054,-40.5,"batch_2_wagons[W0019,W0020]"
1010.0,2025-12-01T16:50:00+00:00,retrofitted1,capacity_reserved,528.0,41.599999999999994,80.8,7.878787878787878,15.303030303030301,39.2,"batch_2_wagons[W0015,W0016]"
1015.0,2025-12-01T16:55:00+00:00,retrofit1,capacity_released,319.5,220.0,189.7,68.85758998435054,59.37402190923318,-30.299999999999997,"batch_2_wagons[W0021,W0022]"
