timestamp,datetime,resource_id,resource_type,location,previous_location,route_path
648.0,2025-12-01T10:48:00+00:00,W0011,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0012,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0013,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0014,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0015,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0016,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0017,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0018,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0019,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0020,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0021,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0022,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0023,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0024,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0025,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0026,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0027,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0028,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0029,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0030,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0031,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0032,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0033,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0034,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0035,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0036,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0037,wagon,collection1,,
648.0,2025-12-01T10:48:00+00:00,W0038,wagon,collection1,,
661.0,2025-12-01T11:01:00+00:00,W0001,wagon,parking10,,
661.0,2025-12-01T11:01:00+00:00,W0002,wagon,parking10,,
661.0,2025-12-01T11:01:00+00:00,W0003,wagon,parking10,,
661.0,2025-12-01T11:01:00+00:00,W0004,wagon,parking10,,
661.0,2025-12-01T11:01:00+00:00,W0005,wagon,parking10,,
661.0,2025-12-01T11:01:00+00:00,W0006,wagon,parking10,,
661.0,2025-12-01T11:01:00+00:00,LOCO_01,locomotive,track_19,parking10,
741.0,2025-12-01T12:21:00+00:00,LOCO_02,locomotive,retrofit1,collection1,
741.0,2025-12-01T12:21:00+00:00,W0007,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0008,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0009,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0010,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0011,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0012,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0013,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0014,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0015,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0016,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0017,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0018,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0019,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0020,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0021,wagon,collection1,,collection1|Mainline|retrofit1
741.0,2025-12-01T12:21:00+00:00,W0022,wagon,collection1,,collection1|Mainline|retrofit1
801.0,2025-12-01T13:21:00+00:00,W0007,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0008,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0009,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0010,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0011,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0012,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0013,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0014,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0015,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0016,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0017,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0018,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0019,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0020,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0021,wagon,retrofit1,,
801.0,2025-12-01T13:21:00+00:00,W0022,wagon,retrofit1,,
803.0,2025-12-01T13:23:00+00:00,LOCO_03,locomotive,retrofit1,track_19,
803.0,2025-12-01T13:23:00+00:00,LOCO_04,locomotive,retrofit1,track_19,
803.0,2025-12-01T13:23:00+00:00,LOCO_01,locomotive,retrofit1,track_19,
811.0,2025-12-01T13:31:00+00:00,LOCO_03,locomotive,WS_01,retrofit1,
811.0,2025-12-01T13:31:00+00:00,W0007,wagon,retrofit1,,retrofit1|WS_01
811.0,2025-12-01T13:31:00+00:00,W0008,wagon,retrofit1,,retrofit1|WS_01
811.0,2025-12-01T13:31:00+00:00,LOCO_04,locomotive,WS_02,retrofit1,
811.0,2025-12-01T13:31:00+00:00,W0009,wagon,retrofit1,,retrofit1|WS_02
811.0,2025-12-01T13:31:00+00:00,W0010,wagon,retrofit1,,retrofit1|WS_02
811.0,2025-12-01T13:31:00+00:00,LOCO_01,locomotive,WS_03,retrofit1,
811.0,2025-12-01T13:31:00+00:00,W0011,wagon,retrofit1,,retrofit1|WS_03
811.0,2025-12-01T13:31:00+00:00,W0012,wagon,retrofit1,,retrofit1|WS_03
816.0,2025-12-01T13:36:00+00:00,W0007,wagon,WS_01,,
816.0,2025-12-01T13:36:00+00:00,W0008,wagon,WS_01,,
816.0,2025-12-01T13:36:00+00:00,W0009,wagon,WS_02,,
816.0,2025-12-01T13:36:00+00:00,W0010,wagon,WS_02,,
816.0,2025-12-01T13:36:00+00:00,W0011,wagon,WS_03,,
816.0,2025-12-01T13:36:00+00:00,W0012,wagon,WS_03,,
822.0,2025-12-01T13:42:00+00:00,W0007,wagon,WS_01,,
822.0,2025-12-01T13:42:00+00:00,W0008,wagon,WS_01,,
822.0,2025-12-01T13:42:00+00:00,W0009,wagon,WS_02,,
822.0,2025-12-01T13:42:00+00:00,W0010,wagon,WS_02,,
822.0,2025-12-01T13:42:00+00:00,W0011,wagon,WS_03,,
822.0,2025-12-01T13:42:00+00:00,W0012,wagon,WS_03,,
822.0,2025-12-01T13:42:00+00:00,LOCO_03,locomotive,track_19,WS_01,
822.0,2025-12-01T13:42:00+00:00,LOCO_04,locomotive,track_19,WS_02,
822.0,2025-12-01T13:42:00+00:00,LOCO_01,locomotive,track_19,WS_03,
882.5,2025-12-01T14:42:30+00:00,LOCO_03,locomotive,WS_01,track_19,
882.5,2025-12-01T14:42:30+00:00,LOCO_04,locomotive,WS_02,track_19,
882.5,2025-12-01T14:42:30+00:00,LOCO_01,locomotive,WS_03,track_19,
889.5,2025-12-01T14:49:30+00:00,LOCO_03,locomotive,retrofitted1,WS_01,
889.5,2025-12-01T14:49:30+00:00,W0007,wagon,WS_01,,WS_01|retrofitted1
889.5,2025-12-01T14:49:30+00:00,W0008,wagon,WS_01,,WS_01|retrofitted1
