timestamp,datetime,wagon_id,train_id,event,track_id,status,rejection_reason,rejection_description
360.0,2025-12-01T06:00:00+00:00,W0001,T1,ARRIVED,collection1,ARRIVED,,
360.0,2025-12-01T06:00:00+00:00,W0002,T1,ARRIVED,collection1,ARRIVED,,
360.0,2025-12-01T06:00:00+00:00,W0003,T1,ARRIVED,collection1,ARRIVED,,
360.0,2025-12-01T06:00:00+00:00,W0004,T1,ARRIVED,collection1,ARRIVED,,
360.0,2025-12-01T06:00:00+00:00,W0005,T1,ARRIVED,collection1,ARRIVED,,
360.0,2025-12-01T06:00:00+00:00,W0006,T1,ARRIVED,collection1,ARRIVED,,
420.0,2025-12-01T07:00:00+00:00,W0001,,RAKE_COUPLING_STARTED,collection1,COUPLING,,
420.0,2025-12-01T07:00:00+00:00,W0002,,RAKE_COUPLING_STARTED,collection1,COUPLING,,
420.0,2025-12-01T07:00:00+00:00,W0003,,RAKE_COUPLING_STARTED,collection1,COUPLING,,
420.0,2025-12-01T07:00:00+00:00,W0004,,RAKE_COUPLING_STARTED,collection1,COUPLING,,
420.0,2025-12-01T07:00:00+00:00,W0005,,RAKE_COUPLING_STARTED,collection1,COUPLING,,
420.0,2025-12-01T07:00:00+00:00,W0006,,RAKE_COUPLING_STARTED,collection1,COUPLING,,
433.0,2025-12-01T07:13:00+00:00,W0001,,MOVING,collection1,MOVING,,
433.0,2025-12-01T07:13:00+00:00,W0002,,MOVING,collection1,MOVING,,
433.0,2025-12-01T07:13:00+00:00,W0003,,MOVING,collection1,MOVING,,
433.0,2025-12-01T07:13:00+00:00,W0004,,MOVING,collection1,MOVING,,
433.0,2025-12-01T07:13:00+00:00,W0005,,MOVING,collection1,MOVING,,
433.0,2025-12-01T07:13:00+00:00,W0006,,MOVING,collection1,MOVING,,
493.0,2025-12-01T08:13:00+00:00,W0001,,ON_RETROFIT_TRACK,retrofit1,WAITING,,
493.0,2025-12-01T08:13:00+00:00,W0002,,ON_RETROFIT_TRACK,retrofit1,WAITING,,
493.0,2025-12-01T08:13:00+00:00,W0003,,ON_RETROFIT_TRACK,retrofit1,WAITING,,
493.0,2025-12-01T08:13:00+00:00,W0004,,ON_RETROFIT_TRACK,retrofit1,WAITING,,
493.0,2025-12-01T08:13:00+00:00,W0005,,ON_RETROFIT_TRACK,retrofit1,WAITING,,
493.0,2025-12-01T08:13:00+00:00,W0006,,ON_RETROFIT_TRACK,retrofit1,WAITING,,
503.0,2025-12-01T08:23:00+00:00,W0001,,MOVING,retrofit1,MOVING,,
503.0,2025-12-01T08:23:00+00:00,W0002,,MOVING,retrofit1,MOVING,,
