timestamp,datetime,event_type,resource_type,resource_id,details
2090.5,2025-12-02T10:50:30+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0097,"{""location"": ""retrofit2"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2090.5,2025-12-02T10:50:30+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0099,"{""location"": ""retrofit2"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2090.5,2025-12-02T10:50:30+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0100,"{""location"": ""retrofit2"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2090.5,2025-12-02T10:50:30+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0101,"{""location"": ""retrofit2"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2090.5,2025-12-02T10:50:30+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0102,"{""location"": ""retrofit2"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2090.5,2025-12-02T10:50:30+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0103,"{""location"": ""retrofit2"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2090.5,2025-12-02T10:50:30+00:00,WagonON_RETROFIT_TRACKEvent,wagon,W0104,"{""location"": ""retrofit2"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2090.5,2025-12-02T10:50:30+00:00,BatchArrivedAtDestination,batch,BATCH_retrofit_7_2500866438640,"{""destination"": ""retrofit"", ""wagon_count"": 7, ""locomotive_id"": """"}"
2093.0,2025-12-02T10:53:00+00:00,WagonRETROFIT_STARTEDEvent,wagon,W0053,"{""location"": ""WS_02"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2093.0,2025-12-02T10:53:00+00:00,WagonRETROFIT_STARTEDEvent,wagon,W0054,"{""location"": ""WS_02"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2093.0,2025-12-02T10:53:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""WS_02"", ""to_location"": ""track_19"", ""purpose"": """"}"
2093.5,2025-12-02T10:53:30+00:00,LocomotivePARKINGEvent,locomotive,LOCO_01,"{""from_location"": """", ""to_location"": """", ""purpose"": """"}"
2093.5,2025-12-02T10:53:30+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_01,"{""from_location"": ""track_19"", ""to_location"": ""collection3"", ""purpose"": """"}"
2094.5,2025-12-02T10:54:30+00:00,BatchTransportStarted,batch,BATCH_parking12_6_2500866436176,"{""destination"": ""parking12"", ""wagon_count"": 6, ""locomotive_id"": ""LOCO_04""}"
2098.5,2025-12-02T10:58:30+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_04,"{""from_location"": ""retrofitted1"", ""to_location"": ""parking12"", ""purpose"": """"}"
2100.0,2025-12-02T11:00:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""track_19"", ""to_location"": ""retrofit2"", ""purpose"": """"}"
2108.0,2025-12-02T11:08:00+00:00,WagonMOVINGEvent,wagon,W0087,"{""location"": ""retrofit2"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2108.0,2025-12-02T11:08:00+00:00,WagonMOVINGEvent,wagon,W0088,"{""location"": ""retrofit2"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2108.0,2025-12-02T11:08:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""retrofit2"", ""to_location"": ""WS_03"", ""purpose"": """"}"
2113.0,2025-12-02T11:13:00+00:00,WagonAT_WORKSHOPEvent,wagon,W0087,"{""location"": ""WS_03"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2113.0,2025-12-02T11:13:00+00:00,WagonAT_WORKSHOPEvent,wagon,W0088,"{""location"": ""WS_03"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2119.0,2025-12-02T11:19:00+00:00,WagonRETROFIT_STARTEDEvent,wagon,W0087,"{""location"": ""WS_03"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2119.0,2025-12-02T11:19:00+00:00,WagonRETROFIT_STARTEDEvent,wagon,W0088,"{""location"": ""WS_03"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2119.0,2025-12-02T11:19:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""WS_03"", ""to_location"": ""track_19"", ""purpose"": """"}"
2124.0,2025-12-02T11:24:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_02,"{""from_location"": ""track_19"", ""to_location"": ""collection2"", ""purpose"": """"}"
2127.0,2025-12-02T11:27:00+00:00,WagonRETROFIT_COMPLETEDEvent,wagon,W0085,"{""location"": ""WS_01"", ""status"": ""COMPLETED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2127.0,2025-12-02T11:27:00+00:00,WagonRETROFIT_COMPLETEDEvent,wagon,W0086,"{""location"": ""WS_01"", ""status"": ""COMPLETED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2129.5,2025-12-02T11:29:30+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_03,"{""from_location"": ""retrofit2"", ""to_location"": ""track_19"", ""purpose"": """"}"
2134.5,2025-12-02T11:34:30+00:00,LocomotivePARKINGEvent,locomotive,LOCO_03,"{""from_location"": """", ""to_location"": """", ""purpose"": """"}"
2134.5,2025-12-02T11:34:30+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_03,"{""from_location"": ""track_19"", ""to_location"": ""WS_01"", ""purpose"": """"}"
2139.5,2025-12-02T11:39:30+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0085,"{""location"": ""WS_01"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2139.5,2025-12-02T11:39:30+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0086,"{""location"": ""WS_01"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2141.5,2025-12-02T11:41:30+00:00,WagonRAKE_COUPLING_COMPLETEDEvent,wagon,W0085,"{""location"": ""WS_01"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2141.5,2025-12-02T11:41:30+00:00,WagonRAKE_COUPLING_COMPLETEDEvent,wagon,W0086,"{""location"": ""WS_01"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2141.5,2025-12-02T11:41:30+00:00,WagonMOVINGEvent,wagon,W0085,"{""location"": ""WS_01"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2141.5,2025-12-02T11:41:30+00:00,WagonMOVINGEvent,wagon,W0086,"{""location"": ""WS_01"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2141.5,2025-12-02T11:41:30+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_03,"{""from_location"": ""WS_01"", ""to_location"": ""retrofitted1"", ""purpose"": """"}"
2146.5,2025-12-02T11:46:30+00:00,WagonON_RETROFITTED_TRACKEvent,wagon,W0085,"{""location"": ""retrofitted1"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2146.5,2025-12-02T11:46:30+00:00,WagonON_RETROFITTED_TRACKEvent,wagon,W0086,"{""location"": ""retrofitted1"", ""status"": ""WAITING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2146.5,2025-12-02T11:46:30+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_03,"{""from_location"": ""retrofitted1"", ""to_location"": ""track_19"", ""purpose"": """"}"
