timestamp,datetime,workshop_id,change_type,total_bays,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
1848.5,2025-12-02T06:48:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1865.5,2025-12-02T07:05:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1908.5,2025-12-02T07:48:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1908.5,2025-12-02T07:48:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
1930.0,2025-12-02T08:10:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1954.5,2025-12-02T08:34:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1968.5,2025-12-02T08:48:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
1990.0,2025-12-02T09:10:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2007.0,2025-12-02T09:27:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
2014.5,2025-12-02T09:34:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2067.0,2025-12-02T10:27:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
2067.0,2025-12-02T10:27:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2093.0,2025-12-02T10:53:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2119.0,2025-12-02T11:19:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
2127.0,2025-12-02T11:27:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2153.0,2025-12-02T11:53:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2172.5,2025-12-02T12:12:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2179.0,2025-12-02T12:19:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
2232.5,2025-12-02T13:12:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2292.0,2025-12-02T14:12:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2295.5,2025-12-02T14:15:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
2321.5,2025-12-02T14:41:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2352.0,2025-12-02T15:12:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2355.5,2025-12-02T15:15:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
2381.5,2025-12-02T15:41:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2393.5,2025-12-02T15:53:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2453.5,2025-12-02T16:53:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2482.0,2025-12-02T17:22:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
2525.0,2025-12-02T18:05:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2542.0,2025-12-02T18:22:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
2551.0,2025-12-02T18:31:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2585.0,2025-12-02T19:05:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2611.0,2025-12-02T19:31:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2674.5,2025-12-02T20:34:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
2693.0,2025-12-02T20:53:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2700.5,2025-12-02T21:00:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2734.5,2025-12-02T21:34:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
2753.0,2025-12-02T21:53:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2760.5,2025-12-02T22:00:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2791.5,2025-12-02T22:31:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
2851.5,2025-12-02T23:31:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
2853.0,2025-12-02T23:33:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2863.0,2025-12-02T23:43:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2913.0,2025-12-03T00:33:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2923.0,2025-12-03T00:43:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3011.0,2025-12-03T02:11:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
3020.0,2025-12-03T02:20:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3037.0,2025-12-03T02:37:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3071.0,2025-12-03T03:11:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
3080.0,2025-12-03T03:20:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3097.0,2025-12-03T03:37:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3191.5,2025-12-03T05:11:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
3201.0,2025-12-03T05:21:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3202.0,2025-12-03T05:22:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3251.5,2025-12-03T06:11:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
3261.0,2025-12-03T06:21:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3262.0,2025-12-03T06:22:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3311.5,2025-12-03T07:11:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
3337.5,2025-12-03T07:37:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3363.5,2025-12-03T08:03:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3371.5,2025-12-03T08:11:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
3397.5,2025-12-03T08:37:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3423.5,2025-12-03T09:03:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3428.5,2025-12-03T09:08:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
3488.5,2025-12-03T10:08:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
3492.0,2025-12-03T10:12:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3518.0,2025-12-03T10:38:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3552.0,2025-12-03T11:12:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3578.0,2025-12-03T11:38:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3602.5,2025-12-03T12:02:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
